🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771356598209, 'cpu_temp': 42.5, 'cpu_usage': 4.2, 'memory_usage': 63.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356604517, 'cpu_temp': 43.5, 'cpu_usage': 6.0, 'memory_usage': 63.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356610940, 'cpu_temp': 42.5, 'cpu_usage': 6.5, 'memory_usage': 62.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356617249, 'cpu_temp': 43.0, 'cpu_usage': 5.8, 'memory_usage': 62.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356623577, 'cpu_temp': 43.5, 'cpu_usage': 6.3, 'memory_usage': 62.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356629899, 'cpu_temp': 41.9, 'cpu_usage': 5.3, 'memory_usage': 62.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356636226, 'cpu_temp': 43.5, 'cpu_usage': 5.5, 'memory_usage': 61.3, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356642567, 'cpu_temp': 42.5, 'cpu_usage': 5.8, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356648882, 'cpu_temp': 41.4, 'cpu_usage': 11.1, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356655294, 'cpu_temp': 43.0, 'cpu_usage': 4.5, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356661598, 'cpu_temp': 43.5, 'cpu_usage': 4.0, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356667927, 'cpu_temp': 43.5, 'cpu_usage': 4.0, 'memory_usage': 60.9, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356674264, 'cpu_temp': 42.5, 'cpu_usage': 3.8, 'memory_usage': 60.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356680653, 'cpu_temp': 42.5, 'cpu_usage': 4.5, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356687044, 'cpu_temp': 42.5, 'cpu_usage': 4.3, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356693344, 'cpu_temp': 43.0, 'cpu_usage': 4.3, 'memory_usage': 64.8, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356699738, 'cpu_temp': 43.5, 'cpu_usage': 5.8, 'memory_usage': 64.4, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356706031, 'cpu_temp': 44.6, 'cpu_usage': 28.2, 'memory_usage': 64.4, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356712418, 'cpu_temp': 43.5, 'cpu_usage': 3.8, 'memory_usage': 61.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356718726, 'cpu_temp': 44.1, 'cpu_usage': 3.8, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356725068, 'cpu_temp': 43.5, 'cpu_usage': 4.2, 'memory_usage': 60.7, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356731392, 'cpu_temp': 43.5, 'cpu_usage': 6.5, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356737733, 'cpu_temp': 43.5, 'cpu_usage': 4.5, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356744030, 'cpu_temp': 42.5, 'cpu_usage': 4.5, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356750338, 'cpu_temp': 43.5, 'cpu_usage': 4.0, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356756646, 'cpu_temp': 43.5, 'cpu_usage': 3.8, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356762947, 'cpu_temp': 43.0, 'cpu_usage': 5.5, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356769269, 'cpu_temp': 42.5, 'cpu_usage': 4.0, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356775602, 'cpu_temp': 43.0, 'cpu_usage': 7.5, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356782007, 'cpu_temp': 41.9, 'cpu_usage': 2.5, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356788341, 'cpu_temp': 43.0, 'cpu_usage': 3.3, 'memory_usage': 60.5, 'disk_usage': 21.5}
